Sl. No.,Branch,Sem,Code,Register Number
194,AI&DS,3,U23CS404,722825243064
195,AI&DS,3,U23EC382,722825243064
196,AI&DS,3,U23CS491,722825243064
197,AI&DS,3,U23AD491,722825243064
198,AI&DS,3,U23MA204,722825243067
199,AI&DS,3,U23CS403,722825243067
200,AI&DS,3,U23CS404,722825243067
201,AI&DS,3,U23EC382,722825243067
202,AI&DS,3,U23CS491,722825243067
203,AI&DS,3,U23AD491,722825243067
204,AI&DS,3,U23MA204,722825243106
205,AI&DS,3,U23CS403,722825243106
206,AI&DS,3,U23CS404,722825243106
207,AI&DS,3,U23EC382,722825243106
208,AI&DS,3,U23CS491,722825243106
209,AI&DS,3,U23AD491,722825243106
210,AI&DS,3,U23MA204,722825243115
211,AI&DS,3,U23CS403,722825243115
212,AI&DS,3,U23CS404,722825243115
213,AI&DS,3,U23EC382,722825243115
214,AI&DS,3,U23CS491,722825243115
215,AI&DS,3,U23AD491,722825243115
216,AI&DS,3,U23MA204,722825243119
217,AI&DS,3,U23CS403,722825243119
218,AI&DS,3,U23CS404,722825243119
219,AI&DS,3,U23EC382,722825243119
220,AI&DS,3,U23CS491,722825243119
221,AI&DS,3,U23AD491,722825243119
222,AI&DS,3,U23MA204,722825243139
223,AI&DS,3,U23CS403,722825243139
224,AI&DS,3,U23CS404,722825243139
225,AI&DS,3,U23EC382,722825243139
226,AI&DS,3,U23CS491,722825243139
227,AI&DS,3,U23AD491,722825243139
228,AI&DS,3,U23MA204,722825243151
229,AI&DS,3,U23CS403,722825243151
230,AI&DS,3,U23CS404,722825243151
231,AI&DS,3,U23EC382,722825243151
232,AI&DS,3,U23CS491,722825243151
233,AI&DS,3,U23AD491,722825243151
234,AI&DS,3,U23MA204,722825243200
235,AI&DS,3,U23CS403,722825243200
236,AI&DS,3,U23CS404,722825243200
237,AI&DS,3,U23EC382,722825243200
238,AI&DS,3,U23CS491,722825243200
239,AI&DS,3,U23AD491,722825243200
240,AI&DS,3,U23MA204,722825243212
241,AI&DS,3,U23CS403,722825243212
242,AI&DS,3,U23CS404,722825243212
243,AI&DS,3,U23EC382,722825243212
244,AI&DS,3,U23CS491,722825243212
245,AI&DS,3,U23AD491,722825243212
246,AI&DS,3,U23MA204,722825243219
247,AI&DS,3,U23CS403,722825243219
248,AI&DS,3,U23CS404,722825243219
249,AI&DS,3,U23EC382,722825243219
250,AI&DS,3,U23CS491,722825243219
251,AI&DS,3,U23AD491,722825243219
252,AI&DS,3,U23MA204,722825243248
253,AI&DS,3,U23CS403,722825243248
254,AI&DS,3,U23CS404,722825243248
255,AI&DS,3,U23EC382,722825243248
256,AI&DS,3,U23CS491,722825243248
257,AI&DS,3,U23AD491,722825243248
258,AI&DS,3,U23MA204,722825243252
259,AI&DS,3,U23CS403,722825243252
260,AI&DS,3,U23CS404,722825243252
261,AI&DS,3,U23EC382,722825243252
262,AI&DS,3,U23CS491,722825243252
263,AI&DS,3,U23AD491,722825243252
264,AI&DS,3,U23MA204,722825243028
265,AI&DS,3,U23CS403,722825243028
266,AI&DS,3,U23CS404,722825243028
267,AI&DS,3,U23EC382,722825243028
268,AI&DS,3,U23CS491,722825243028
269,AI&DS,3,U23AD491,722825243028
270,AI&DS,3,U23MA204,722825243101
271,AI&DS,3,U23CS403,722825243101
272,AI&DS,3,U23CS404,722825243101
273,AI&DS,3,U23EC382,722825243101
274,AI&DS,3,U23CS491,722825243101
275,AI&DS,3,U23AD491,722825243101
276,AI&DS,3,U23MA204,722825243017
277,AI&DS,3,U23CS403,722825243017
278,AI&DS,3,U23CS404,722825243017
279,AI&DS,3,U23EC382,722825243017
280,AI&DS,3,U23CS491,722825243017
281,AI&DS,3,U23AD491,722825243017
282,AI&DS,3,U23MA204,722825243027
283,AI&DS,3,U23CS403,722825243027
284,AI&DS,3,U23CS404,722825243027
285,AI&DS,3,U23EC382,722825243027
286,AI&DS,3,U23CS491,722825243027
287,AI&DS,3,U23AD491,722825243027
288,AI&DS,3,U23MA204,722825243044
289,AI&DS,3,U23CS403,722825243044
290,AI&DS,3,U23CS404,722825243044
291,AI&DS,3,U23EC382,722825243044
292,AI&DS,3,U23CS491,722825243044
293,AI&DS,3,U23AD491,722825243044
294,AI&DS,3,U23MA204,722825243060
295,AI&DS,3,U23CS403,722825243060
296,AI&DS,3,U23CS404,722825243060
297,AI&DS,3,U23EC382,722825243060
298,AI&DS,3,U23CS491,722825243060
299,AI&DS,3,U23AD491,722825243060
300,AI&DS,3,U23MA204,722825243186
301,AI&DS,3,U23CS403,722825243186
302,AI&DS,3,U23CS404,722825243186
303,AI&DS,3,U23EC382,722825243186
304,AI&DS,3,U23CS491,722825243186
305,AI&DS,3,U23AD491,722825243186
306,AI&DS,3,U23MA204,722825243105
307,AI&DS,3,U23CS403,722825243105
308,AI&DS,3,U23CS404,722825243105
309,AI&DS,3,U23EC382,722825243105
310,AI&DS,3,U23CS491,722825243105
311,AI&DS,3,U23AD491,722825243105
312,AI&DS,3,U23MA204,722825243177
313,AI&DS,3,U23CS403,722825243177
314,AI&DS,3,U23CS404,722825243177
315,AI&DS,3,U23EC382,722825243177
316,AI&DS,3,U23CS491,722825243177
317,AI&DS,3,U23AD491,722825243177
318,AI&DS,3,U23MA204,722825243209
319,AI&DS,3,U23CS403,722825243209
320,AI&DS,3,U23CS404,722825243209
321,AI&DS,3,U23EC382,722825243209
322,AI&DS,3,U23CS491,722825243209
323,AI&DS,3,U23AD491,722825243209
324,AI&DS,3,U23MA204,722825243211
325,AI&DS,3,U23CS403,722825243211
326,AI&DS,3,U23CS404,722825243211
327,AI&DS,3,U23EC382,722825243211
328,AI&DS,3,U23CS491,722825243211
329,AI&DS,3,U23AD491,722825243211
330,AI&DS,3,U23MA204,722825243216
331,AI&DS,3,U23CS403,722825243216
332,AI&DS,3,U23CS404,722825243216
333,AI&DS,3,U23EC382,722825243216
334,AI&DS,3,U23CS491,722825243216
335,AI&DS,3,U23AD491,722825243216
336,AI&DS,5,U23AD401,722824243132
337,AI&DS,5,U23AD484,722824243132
338,AI&DS,5,U23IT484,722824243132
339,AI&DS,5,U23AM491,722824243132
340,AI&DS,5,U23CB593,722824243132
341,AI&DS,5,U23EC384,722824243132
342,AI&DS,5,U23AD401,722824243021
343,AI&DS,5,U23AD484,722824243021
344,AI&DS,5,U23IT484,722824243021
345,AI&DS,5,U23AM491,722824243021
346,AI&DS,5,U23CB593,722824243021
347,AI&DS,5,U23EC384,722824243021
348,AI&DS,5,U23AD401,722824243046
349,AI&DS,5,U23AD484,722824243046
350,AI&DS,5,U23IT484,722824243046
351,AI&DS,5,U23AM491,722824243046
352,AI&DS,5,U23CB593,722824243046
353,AI&DS,5,U23EC384,722824243046
354,AI&DS,5,U23AD401,722824243077
355,AI&DS,5,U23AD484,722824243077
356,AI&DS,5,U23IT484,722824243077
357,AI&DS,5,U23AM491,722824243077
358,AI&DS,5,U23CB593,722824243077
359,AI&DS,5,U23EC384,722824243077
360,AI&DS,5,U23AD401,722824243101
361,AI&DS,5,U23AD484,722824243101
362,AI&DS,5,U23IT484,722824243101
363,AI&DS,5,U23AM491,722824243101
364,AI&DS,5,U23CB593,722824243101
365,AI&DS,5,U23EC384,722824243101
366,AI&DS,5,U23AD401,722824243126
367,AI&DS,5,U23AD484,722824243126
368,AI&DS,5,U23IT484,722824243126
369,AI&DS,5,U23AM491,722824243126
370,AI&DS,5,U23CB593,722824243126
371,AI&DS,5,U23EC384,722824243126
372,AI&DS,5,U23AD401,722824243135
373,AI&DS,5,U23AD484,722824243135
374,AI&DS,5,U23IT484,722824243135
375,AI&DS,5,U23AM491,722824243135
376,AI&DS,5,U23CB593,722824243135
377,AI&DS,5,U23EC384,722824243135
378,AI&DS,5,U23AD401,722824243176
379,AI&DS,5,U23AD484,722824243176
380,AI&DS,5,U23IT484,722824243176
381,AI&DS,5,U23AM491,722824243176
382,AI&DS,5,U23CB593,722824243176
383,AI&DS,5,U23EC384,722824243176
384,AI&DS,5,U23AD401,722824243190
385,AI&DS,5,U23AD484,722824243190
386,AI&DS,5,U23IT484,722824243190
387,AI&DS,5,U23AM491,722824243190
388,AI&DS,5,U23CB593,722824243190
389,AI&DS,5,U23EC384,722824243190
390,AI&DS,5,U23AD401,722824243200
391,AI&DS,5,U23AD484,722824243200
392,AI&DS,5,U23IT484,722824243200
393,AI&DS,5,U23AM491,722824243200
394,AI&DS,5,U23CB593,722824243200
395,AI&DS,5,U23EC384,722824243200
396,AI&DS,5,U23AD401,722824243211
397,AI&DS,5,U23AD484,722824243211
398,AI&DS,5,U23IT484,722824243211
399,AI&DS,5,U23AM491,722824243211
400,AI&DS,5,U23CB593,722824243211
401,AI&DS,5,U23EC384,722824243211
402,AI&DS,5,U23AD401,722824243221
403,AI&DS,5,U23AD484,722824243221
404,AI&DS,5,U23IT484,722824243221
405,AI&DS,5,U23AM491,722824243221
406,AI&DS,5,U23CB593,722824243221
407,AI&DS,5,U23EC384,722824243221
408,AI&DS,5,U23AD401,722824243227
409,AI&DS,5,U23AD484,722824243227
410,AI&DS,5,U23IT484,722824243227
411,AI&DS,5,U23AM491,722824243227
412,AI&DS,5,U23CB593,722824243227
413,AI&DS,5,U23EC384,722824243227
414,AI&DS,5,U23AD401,722824243230
415,AI&DS,5,U23AD484,722824243230
416,AI&DS,5,U23IT484,722824243230
417,AI&DS,5,U23AM491,722824243230
418,AI&DS,5,U23CB593,722824243230
419,AI&DS,5,U23EC384,722824243230
420,AI&DS,5,U23AD401,722824243137
421,AI&DS,5,U23AD484,722824243137
422,AI&DS,5,U23IT484,722824243137
423,AI&DS,5,U23AM491,722824243137
424,AI&DS,5,U23CB593,722824243137
425,AI&DS,5,U23EC384,722824243137
426,AI&DS,5,U23AD401,722824243254
427,AI&DS,5,U23AD484,722824243254
428,AI&DS,5,U23IT484,722824243254
429,AI&DS,5,U23AM491,722824243254
430,AI&DS,5,U23CB593,722824243254
431,AI&DS,5,U23EC384,722824243254
432,AI&DS,5,U23AD401,722824243306
433,AI&DS,5,U23AD484,722824243306
434,AI&DS,5,U23IT484,722824243306
435,AI&DS,5,U23AM491,722824243306
436,AI&DS,5,U23CB593,722824243306
437,AI&DS,5,U23EC384,722824243306
438,AI&DS,5,U23AD401,722824243093
439,AI&DS,5,U23AD484,722824243093
440,AI&DS,5,U23IT484,722824243093
441,AI&DS,5,U23AM491,722824243093
442,AI&DS,5,U23CB593,722824243093
443,AI&DS,5,U23EC384,722824243093
444,AI&DS,7,U23CB103,722823243049
445,AI&DS,7,U23CB104,722823243049
446,AI&DS,7,U23AM586,722823243049
447,AI&DS,7,U23OME06,722823243049
448,AI&DS,7,U23AD511,722823243049
449,AI&DS,7,U23CB103,722823243080
450,AI&DS,7,U23CB104,722823243080
451,AI&DS,7,U23AM586,722823243080
452,AI&DS,7,U23OME06,722823243080
453,AI&DS,7,U23AD511,722823243080
454,AIML,3,U23CS403,722825148092
455,AIML,3,U23CS404,722825148092
456,AIML,3,U23MA204,722825148092
457,AIML,3,U23CS491,722825148092
458,AIML,3,U23AD483,722825148092
459,AIML,7,U23CB103,722823148013
460,AIML,7,U23CB104,722823148013
461,AIML,7,U23CS522,722823148013
462,AIML,7,U23IT483,722823148013
463,AIML,7,U23OME07,722823148013
464,AIML,7,U23AD511,722823148013
465,AIML,7,U23CB103,722823148029
466,AIML,7,U23CB104,722823148029
467,AIML,7,U23CS522,722823148029
468,AIML,7,U23IT483,722823148029
469,AIML,7,U23OME07,722823148029
470,AIML,7,U23AD511,722823148029
471,AIML,7,U23CB103,722823148049
472,AIML,7,U23CB104,722823148049
473,AIML,7,U23CS522,722823148049
474,AIML,7,U23IT483,722823148049
475,AIML,7,U23OME07,722823148049
476,AIML,7,U23AD511,722823148049
477,AIML,5,U23AD511,722824148122
478,AIML,5,U23AM492,722824148122
479,AIML,5,U23AD484,722824148122
480,AIML,5,U23IT484,722824148122
481,AIML,5,U23EC382,722824148122
482,AIML,5,U23CB593,722824148122
483,AIML,5,U23EC384,722824148122
484,AIML,5,U23CS522,722824148122
485,AIML,5,U23AD511,722824148108
486,AIML,5,U23AM492,722824148108
487,AIML,5,U23AD484,722824148108
488,AIML,5,U23IT484,722824148108
489,AIML,5,U23EC382,722824148108
490,AIML,5,U23CB593,722824148108
491,AIML,5,U23EC384,722824148108
492,AIML,5,U23CS522,722824148108
493,AIML,5,U23AD511,722824148081
494,AIML,5,U23AM492,722824148081
495,AIML,5,U23AD484,722824148081
496,AIML,5,U23IT484,722824148081
497,AIML,5,U23EC382,722824148081
498,AIML,5,U23CB593,722824148081
499,AIML,5,U23EC384,722824148081
500,AIML,5,U23CS522,722824148081
501,AIML,3,U23CS403,722825148088
502,AIML,3,U23CS404,722825148088
503,AIML,3,U23MA204,722825148088
504,AIML,3,U23CS491,722825148088
505,AIML,3,U23AD483,722825148088
506,AIML,5,U23AD511,722824148118
507,AIML,5,U23AM492,722824148118
508,AIML,5,U23AD484,722824148118
509,AIML,5,U23IT484,722824148118
510,AIML,5,U23EC382,722824148118
511,AIML,5,U23CB593,722824148118
512,AIML,5,U23EC384,722824148118
513,AIML,5,U23CS522,722824148118
514,AIML,3,U23CS403,722825148059
515,AIML,3,U23CS404,722825148059
516,AIML,3,U23MA204,722825148059
517,AIML,3,U23CS491,722825148059
518,AIML,3,U23AD483,722825148059
519,AIML,3,U23CS403,722825148096
520,AIML,3,U23CS404,722825148096
521,AIML,3,U23MA204,722825148096
522,AIML,3,U23CS491,722825148096
523,AIML,3,U23AD483,722825148096
524,AIML,3,U23CS403,722825148124
525,AIML,3,U23CS404,722825148124
526,AIML,3,U23MA204,722825148124
527,AIML,3,U23CS491,722825148124
528,AIML,3,U23AD483,722825148124
529,AIML,3,U23CS403,722825148115
530,AIML,3,U23CS404,722825148115
531,AIML,3,U23MA204,722825148115
532,AIML,3,U23CS491,722825148115
533,AIML,3,U23AD483,722825148115
534,AIML,3,U23CS403,722825148079
535,AIML,3,U23CS404,722825148079
536,AIML,3,U23MA204,722825148079
537,AIML,3,U23CS491,722825148079
538,AIML,3,U23AD483,722825148079
539,AIML,3,U23CS403,722825148044
540,AIML,3,U23CS404,722825148044
541,AIML,3,U23MA204,722825148044
542,AIML,3,U23CS491,722825148044
543,AIML,3,U23AD483,722825148044
544,AIML,3,U23CS403,722825148004
545,AIML,3,U23CS404,722825148004
546,AIML,3,U23MA204,722825148004
547,AIML,3,U23CS491,722825148004
548,AIML,3,U23AD483,722825148004
549,AIML,3,U23CS403,722825148011
550,AIML,3,U23CS404,722825148011
551,AIML,3,U23MA204,722825148011
552,AIML,3,U23CS491,722825148011
553,AIML,3,U23AD483,722825148011
554,AIML,3,U23CS403,722825148037
555,AIML,3,U23CS404,722825148037
556,AIML,3,U23MA204,722825148037
557,AIML,3,U23CS491,722825148037
558,AIML,3,U23AD483,722825148037
559,AIML,3,U23CS403,722825148051
560,AIML,3,U23CS404,722825148051
561,AIML,3,U23MA204,722825148051
562,AIML,3,U23CS491,722825148051
563,AIML,3,U23AD483,722825148051
564,AIML,3,U23CS403,722825148057
565,AIML,3,U23CS404,722825148057
566,AIML,3,U23MA204,722825148057
567,AIML,3,U23CS491,722825148057
568,AIML,3,U23AD483,722825148057
569,AIML,3,U23CS403,722825148065
570,AIML,3,U23CS404,722825148065
571,AIML,3,U23MA204,722825148065
572,AIML,3,U23CS491,722825148065
573,AIML,3,U23AD483,722825148065
574,AIML,3,U23CS403,722825148068
575,AIML,3,U23CS404,722825148068
576,AIML,3,U23MA204,722825148068
577,AIML,3,U23CS491,722825148068
578,AIML,3,U23AD483,722825148068
579,AIML,3,U23CS403,722825148109
580,AIML,3,U23CS404,722825148109
581,AIML,3,U23MA204,722825148109
582,AIML,3,U23CS491,722825148109
583,AIML,3,U23AD483,722825148109
584,AIML,5,U23AD511,722824148013
585,AIML,5,U23AM492,722824148013
586,AIML,5,U23AD484,722824148013
587,AIML,5,U23IT484,722824148013
588,AIML,5,U23EC382,722824148013
589,AIML,5,U23CB593,722824148013
590,AIML,5,U23EC384,722824148013
591,AIML,5,U23CS522,722824148013
592,AIML,5,U23AD511,722824148035
593,AIML,5,U23AM492,722824148035
594,AIML,5,U23AD484,722824148035
595,AIML,5,U23IT484,722824148035
596,AIML,5,U23EC382,722824148035
597,AIML,5,U23CB593,722824148035
598,AIML,5,U23EC384,722824148035
599,AIML,5,U23CS522,722824148035
600,AIML,5,U23AD511,722824148058
601,AIML,5,U23AM492,722824148058
602,AIML,5,U23AD484,722824148058
603,AIML,5,U23IT484,722824148058
604,AIML,5,U23EC382,722824148058
605,AIML,5,U23CB593,722824148058
606,AIML,5,U23EC384,722824148058
607,AIML,5,U23CS522,722824148058
608,AIML,5,U23AD511,722824148079
609,AIML,5,U23AM492,722824148079
610,AIML,5,U23AD484,722824148079
611,AIML,5,U23IT484,722824148079
612,AIML,5,U23EC382,722824148079
613,AIML,5,U23CB593,722824148079
614,AIML,5,U23EC384,722824148079
615,AIML,5,U23CS522,722824148079
616,AIML,5,U23AD511,722824148301
617,AIML,5,U23AM492,722824148301
618,AIML,5,U23AD484,722824148301
619,AIML,5,U23IT484,722824148301
620,AIML,5,U23EC382,722824148301
621,AIML,5,U23CB593,722824148301
622,AIML,5,U23EC384,722824148301
623,AIML,5,U23CS522,722824148301
624,AIML,5,U23AD511,722824148302
625,AIML,5,U23AM492,722824148302
626,AIML,5,U23AD484,722824148302
627,AIML,5,U23IT484,722824148302
628,AIML,5,U23EC382,722824148302
629,AIML,5,U23CB593,722824148302
630,AIML,5,U23EC384,722824148302
631,AIML,5,U23CS522,722824148302
632,AIML,5,U23AD511,722824148303
633,AIML,5,U23AM492,722824148303
634,AIML,5,U23AD484,722824148303
635,AIML,5,U23IT484,722824148303
636,AIML,5,U23EC382,722824148303
637,AIML,5,U23CB593,722824148303
638,AIML,5,U23EC384,722824148303
639,AIML,5,U23CS522,722824148303
640,AIML,5,U23AD511,722824148075
641,AIML,5,U23AM492,722824148075
642,AIML,5,U23AD484,722824148075
643,AIML,5,U23IT484,722824148075
644,AIML,5,U23EC382,722824148075
645,AIML,5,U23CB593,722824148075
646,AIML,5,U23EC384,722824148075
647,AIML,5,U23CS522,722824148075
648,AIML,5,U23AD511,722824148116
649,AIML,5,U23AM492,722824148116
650,AIML,5,U23AD484,722824148116
651,AIML,5,U23IT484,722824148116
652,AIML,5,U23EC382,722824148116
653,AIML,5,U23CB593,722824148116
654,AIML,5,U23EC384,722824148116
655,AIML,5,U23CS522,722824148116
656,AIML,5,U23AD511,722824148066
657,AIML,5,U23AM492,722824148066
658,AIML,5,U23AD484,722824148066
659,AIML,5,U23IT484,722824148066
660,AIML,5,U23EC382,722824148066
661,AIML,5,U23CB593,722824148066
662,AIML,5,U23EC384,722824148066
663,AIML,5,U23CS522,722824148066
664,AIML,5,U23AD511,722824148103
665,AIML,5,U23AM492,722824148103
666,AIML,5,U23AD484,722824148103
667,AIML,5,U23IT484,722824148103
668,AIML,5,U23EC382,722824148103
669,AIML,5,U23CB593,722824148103
670,AIML,5,U23EC384,722824148103
671,AIML,5,U23CS522,722824148103
672,AIML,5,U23AD511,722824148065
673,AIML,5,U23AM492,722824148065
674,AIML,5,U23AD484,722824148065
675,AIML,5,U23IT484,722824148065
676,AIML,5,U23EC382,722824148065
677,AIML,5,U23CB593,722824148065
678,AIML,5,U23EC384,722824148065
679,AIML,5,U23CS522,722824148065
680,AIML,7,U23CB103,722823148010
681,AIML,7,U23CB104,722823148010
682,AIML,7,U23CS522,722823148010
683,AIML,7,U23IT483,722823148010
684,AIML,7,U23OME07,722823148010
685,AIML,7,U23AD511,722823148010
686,AIML,7,U23CB103,722823148048
